,gene_ids,feature_types,genome,mt,ribo,hb,n_cells_by_counts,mean_counts,log1p_mean_counts,pct_dropout_by_counts,total_counts,log1p_total_counts
AC131944.1,ENSG00000286618,Gene Expression,GRCh38,False,False,False,0,0.0,0.0,100.0,0.0,0.0
SPP1,ENSG00000118785,Gene Expression,GRCh38,False,False,False,2808,2.9927886,1.3844899,43.75,14940.0,9.611864
PKD2,ENSG00000118762,Gene Expression,GRCh38,False,False,False,427,0.09294872,0.088879295,91.4463141025641,464.0,6.1420374
ABCG2,ENSG00000118777,Gene Expression,GRCh38,False,False,False,66,0.013822115,0.013727461,98.67788461538461,69.0,4.248495
PPM1K,ENSG00000163644,Gene Expression,GRCh38,False,False,False,844,0.19591346,0.1789103,83.09294871794873,978.0,6.886532
PPM1K-DT,ENSG00000246375,Gene Expression,GRCh38,False,False,False,3,0.00060096156,0.00060078106,99.93990384615384,3.0,1.3862944
AC107067.2,ENSG00000287181,Gene Expression,GRCh38,False,False,False,0,0.0,0.0,100.0,0.0,0.0
AC107067.1,ENSG00000286978,Gene Expression,GRCh38,False,False,False,0,0.0,0.0,100.0,0.0,0.0
HERC6,ENSG00000138642,Gene Expression,GRCh38,False,False,False,1438,0.3770032,0.31990954,71.19391025641026,1882.0,7.5406218
HERC5,ENSG00000138646,Gene Expression,GRCh38,False,False,False,466,0.10236378,0.09745677,90.6650641025641,511.0,6.2383246
PYURF,ENSG00000145337,Gene Expression,GRCh38,False,False,False,2023,0.58733976,0.4620595,59.47516025641026,2932.0,7.983781
PIGY,ENSG00000255072,Gene Expression,GRCh38,False,False,False,0,0.0,0.0,100.0,0.0,0.0
PIGY-DT,ENSG00000285122,Gene Expression,GRCh38,False,False,False,15,0.0030048077,0.0030003022,99.69951923076923,15.0,2.7725887
HERC3,ENSG00000138641,Gene Expression,GRCh38,False,False,False,346,0.07151442,0.06907299,93.06891025641025,357.0,5.880533
NAP1L5,ENSG00000177432,Gene Expression,GRCh38,False,False,False,82,0.017227564,0.017080853,98.3573717948718,86.0,4.465908
FAM13A-AS1,ENSG00000248019,Gene Expression,GRCh38,False,False,False,158,0.032852564,0.032324456,96.8349358974359,164.0,5.1059456
FAM13A,ENSG00000138640,Gene Expression,GRCh38,False,False,False,218,0.04647436,0.045426764,95.63301282051282,232.0,5.4510384
TIGD2,ENSG00000180346,Gene Expression,GRCh38,False,False,False,261,0.05408654,0.052674554,94.77163461538461,270.0,5.602119
AC104785.1,ENSG00000270720,Gene Expression,GRCh38,False,False,False,26,0.0052083335,0.005194817,99.47916666666666,26.0,3.295837
GPRIN3,ENSG00000185477,Gene Expression,GRCh38,False,False,False,665,0.15584935,0.14483544,86.6786858974359,778.0,6.658011
AC093866.1,ENSG00000251095,Gene Expression,GRCh38,False,False,False,6,0.0012019231,0.0012012013,99.8798076923077,6.0,1.9459101
SNCA,ENSG00000145335,Gene Expression,GRCh38,False,False,False,136,0.028245192,0.027853653,97.27564102564102,141.0,4.955827
AC097478.1,ENSG00000274238,Gene Expression,GRCh38,False,False,False,1,0.00020032052,0.00020030045,99.97996794871796,1.0,0.6931472
AC097478.3,ENSG00000277695,Gene Expression,GRCh38,False,False,False,0,0.0,0.0,100.0,0.0,0.0
AC097478.2,ENSG00000276542,Gene Expression,GRCh38,False,False,False,0,0.0,0.0,100.0,0.0,0.0
SNCA-AS1,ENSG00000247775,Gene Expression,GRCh38,False,False,False,0,0.0,0.0,100.0,0.0,0.0
MMRN1,ENSG00000138722,Gene Expression,GRCh38,False,False,False,124,0.032451924,0.03193648,97.51602564102564,162.0,5.09375
AC105445.1,ENSG00000287239,Gene Expression,GRCh38,False,False,False,0,0.0,0.0,100.0,0.0,0.0
CCSER1,ENSG00000184305,Gene Expression,GRCh38,False,False,False,32,0.006610577,0.006588823,99.35897435897436,33.0,3.5263605
AC004054.1,ENSG00000248984,Gene Expression,GRCh38,False,False,False,0,0.0,0.0,100.0,0.0,0.0
AC074124.1,ENSG00000249049,Gene Expression,GRCh38,False,False,False,0,0.0,0.0,100.0,0.0,0.0
AC093810.1,ENSG00000249052,Gene Expression,GRCh38,False,False,False,0,0.0,0.0,100.0,0.0,0.0
AC097520.2,ENSG00000287392,Gene Expression,GRCh38,False,False,False,0,0.0,0.0,100.0,0.0,0.0
LNCPRESS2,ENSG00000249152,Gene Expression,GRCh38,False,False,False,0,0.0,0.0,100.0,0.0,0.0
AC112695.1,ENSG00000248511,Gene Expression,GRCh38,False,False,False,0,0.0,0.0,100.0,0.0,0.0
GRID2,ENSG00000152208,Gene Expression,GRCh38,False,False,False,0,0.0,0.0,100.0,0.0,0.0
AC095059.1,ENSG00000248627,Gene Expression,GRCh38,False,False,False,0,0.0,0.0,100.0,0.0,0.0
AC110800.1,ENSG00000250908,Gene Expression,GRCh38,False,False,False,0,0.0,0.0,100.0,0.0,0.0
ATOH1,ENSG00000172238,Gene Expression,GRCh38,False,False,False,0,0.0,0.0,100.0,0.0,0.0
AC096746.1,ENSG00000246541,Gene Expression,GRCh38,False,False,False,0,0.0,0.0,100.0,0.0,0.0
SMARCAD1,ENSG00000163104,Gene Expression,GRCh38,False,False,False,779,0.1796875,0.16524957,84.39503205128204,897.0,6.80017
HPGDS,ENSG00000163106,Gene Expression,GRCh38,False,False,False,66,0.013221154,0.013134518,98.67788461538461,66.0,4.204693
AC109925.2,ENSG00000287552,Gene Expression,GRCh38,False,False,False,1,0.00020032052,0.00020030045,99.97996794871796,1.0,0.6931472
PDLIM5,ENSG00000163110,Gene Expression,GRCh38,False,False,False,1279,0.323117,0.27999032,74.37900641025641,1613.0,7.386471
AC108067.1,ENSG00000249951,Gene Expression,GRCh38,False,False,False,0,0.0,0.0,100.0,0.0,0.0
BMPR1B-DT,ENSG00000249599,Gene Expression,GRCh38,False,False,False,9,0.0018028846,0.0018012613,99.81971153846155,9.0,2.3025851
BMPR1B,ENSG00000138696,Gene Expression,GRCh38,False,False,False,136,0.035256412,0.034649137,97.27564102564102,176.0,5.17615
UNC5C,ENSG00000182168,Gene Expression,GRCh38,False,False,False,40,0.008413462,0.008378266,99.19871794871796,42.0,3.7612002
AC106881.1,ENSG00000271474,Gene Expression,GRCh38,False,False,False,11,0.0022035257,0.0022011015,99.77964743589743,11.0,2.4849067
PDHA2,ENSG00000163114,Gene Expression,GRCh38,False,False,False,0,0.0,0.0,100.0,0.0,0.0
LINC02267,ENSG00000248510,Gene Expression,GRCh38,False,False,False,0,0.0,0.0,100.0,0.0,0.0
AC096585.1,ENSG00000287841,Gene Expression,GRCh38,False,False,False,0,0.0,0.0,100.0,0.0,0.0
AC108515.1,ENSG00000253170,Gene Expression,GRCh38,False,False,False,0,0.0,0.0,100.0,0.0,0.0
STPG2,ENSG00000163116,Gene Expression,GRCh38,False,False,False,1,0.00020032052,0.00020030045,99.97996794871796,1.0,0.6931472
AC034154.1,ENSG00000254044,Gene Expression,GRCh38,False,False,False,0,0.0,0.0,100.0,0.0,0.0
STPG2-AS1,ENSG00000251620,Gene Expression,GRCh38,False,False,False,2,0.00040064103,0.0004005608,99.9599358974359,2.0,1.0986123
AC019077.1,ENSG00000214559,Gene Expression,GRCh38,False,False,False,29,0.005809295,0.005792486,99.41907051282051,29.0,3.4011974
RAP1GDS1,ENSG00000138698,Gene Expression,GRCh38,False,False,False,1452,0.39122596,0.33018535,70.91346153846155,1953.0,7.577634
TSPAN5,ENSG00000168785,Gene Expression,GRCh38,False,False,False,464,0.11057692,0.104879625,90.7051282051282,552.0,6.315358
AC108159.1,ENSG00000251523,Gene Expression,GRCh38,False,False,False,0,0.0,0.0,100.0,0.0,0.0
AC114811.2,ENSG00000260641,Gene Expression,GRCh38,False,False,False,21,0.0044070515,0.004397369,99.57932692307693,22.0,3.1354942
EIF4E,ENSG00000151247,Gene Expression,GRCh38,False,False,False,2179,0.703125,0.5324648,56.35016025641026,3510.0,8.163656
AC019131.1,ENSG00000263923,Gene Expression,GRCh38,False,False,False,0,0.0,0.0,100.0,0.0,0.0
AC019131.3,ENSG00000287512,Gene Expression,GRCh38,False,False,False,0,0.0,0.0,100.0,0.0,0.0
METAP1,ENSG00000164024,Gene Expression,GRCh38,False,False,False,1266,0.32592148,0.28210768,74.63942307692308,1627.0,7.3951077
AC019131.2,ENSG00000272777,Gene Expression,GRCh38,False,False,False,14,0.0028044872,0.002800562,99.71955128205127,14.0,2.7080503
ADH5,ENSG00000197894,Gene Expression,GRCh38,False,False,False,2284,0.73457533,0.5507626,54.24679487179487,3667.0,8.207402
AP002026.1,ENSG00000246090,Gene Expression,GRCh38,False,False,False,38,0.0076121795,0.007583353,99.23878205128204,38.0,3.6635616
ADH4,ENSG00000198099,Gene Expression,GRCh38,False,False,False,1,0.00020032052,0.00020030045,99.97996794871796,1.0,0.6931472
ADH6,ENSG00000172955,Gene Expression,GRCh38,False,False,False,1,0.00020032052,0.00020030045,99.97996794871796,1.0,0.6931472
ADH1A,ENSG00000187758,Gene Expression,GRCh38,False,False,False,1,0.00020032052,0.00020030045,99.97996794871796,1.0,0.6931472
ADH1B,ENSG00000196616,Gene Expression,GRCh38,False,False,False,358,0.15544872,0.14448877,92.82852564102564,776.0,6.6554403
ADH1C,ENSG00000248144,Gene Expression,GRCh38,False,False,False,16,0.0032051282,0.0032000027,99.67948717948718,16.0,2.8332133
ADH7,ENSG00000196344,Gene Expression,GRCh38,False,False,False,0,0.0,0.0,100.0,0.0,0.0
C4orf17,ENSG00000138813,Gene Expression,GRCh38,False,False,False,0,0.0,0.0,100.0,0.0,0.0
TRMT10A,ENSG00000145331,Gene Expression,GRCh38,False,False,False,345,0.07311699,0.07056749,93.0889423076923,365.0,5.902633
MTTP,ENSG00000138823,Gene Expression,GRCh38,False,False,False,1,0.00020032052,0.00020030045,99.97996794871796,1.0,0.6931472
AC083902.1,ENSG00000248676,Gene Expression,GRCh38,False,False,False,0,0.0,0.0,100.0,0.0,0.0
C4orf54,ENSG00000248713,Gene Expression,GRCh38,False,False,False,0,0.0,0.0,100.0,0.0,0.0
DAPP1,ENSG00000070190,Gene Expression,GRCh38,False,False,False,398,0.087740384,0.084102504,92.02724358974359,438.0,6.0844994
LAMTOR3,ENSG00000109270,Gene Expression,GRCh38,False,False,False,1803,0.5218349,0.41991678,63.88221153846154,2605.0,7.865572
DNAJB14,ENSG00000164031,Gene Expression,GRCh38,False,False,False,1004,0.23597756,0.2118622,79.88782051282051,1178.0,7.072422
H2AFZ,ENSG00000164032,Gene Expression,GRCh38,False,False,False,4242,4.998998,1.7915925,15.024038461538458,24955.0,10.124869
AC097460.1,ENSG00000245322,Gene Expression,GRCh38,False,False,False,14,0.0028044872,0.002800562,99.71955128205127,14.0,2.7080503
DDIT4L,ENSG00000145358,Gene Expression,GRCh38,False,False,False,73,0.015224359,0.015109631,98.53766025641025,76.0,4.3438053
AP001961.1,ENSG00000249710,Gene Expression,GRCh38,False,False,False,0,0.0,0.0,100.0,0.0,0.0
EMCN,ENSG00000164035,Gene Expression,GRCh38,False,False,False,278,0.06630609,0.06420042,94.43108974358975,331.0,5.805135
AC097459.1,ENSG00000286150,Gene Expression,GRCh38,False,False,False,0,0.0,0.0,100.0,0.0,0.0
LINC01216,ENSG00000250223,Gene Expression,GRCh38,False,False,False,0,0.0,0.0,100.0,0.0,0.0
LINC01217,ENSG00000251219,Gene Expression,GRCh38,False,False,False,0,0.0,0.0,100.0,0.0,0.0
LINC01218,ENSG00000251636,Gene Expression,GRCh38,False,False,False,0,0.0,0.0,100.0,0.0,0.0
PPP3CA,ENSG00000138814,Gene Expression,GRCh38,False,False,False,1536,0.40364584,0.33907303,69.23076923076923,2015.0,7.6088705
AP001816.1,ENSG00000254531,Gene Expression,GRCh38,False,False,False,523,0.11518429,0.109019674,89.52323717948718,575.0,6.3561077
BANK1,ENSG00000153064,Gene Expression,GRCh38,False,False,False,85,0.018429488,0.018261723,98.29727564102564,92.0,4.5325994
AC084277.1,ENSG00000286124,Gene Expression,GRCh38,False,False,False,0,0.0,0.0,100.0,0.0,0.0
AP002075.1,ENSG00000251309,Gene Expression,GRCh38,False,False,False,0,0.0,0.0,100.0,0.0,0.0
SLC39A8,ENSG00000138821,Gene Expression,GRCh38,False,False,False,344,0.07351763,0.07094076,93.10897435897436,367.0,5.908083
AC098487.1,ENSG00000248161,Gene Expression,GRCh38,False,False,False,30,0.006209936,0.006190734,99.39903846153845,31.0,3.465736
AF213884.3,ENSG00000260651,Gene Expression,GRCh38,False,False,False,43,0.008613782,0.008576895,99.1386217948718,43.0,3.7841897
NFKB1,ENSG00000109320,Gene Expression,GRCh38,False,False,False,1039,0.25721154,0.2288962,79.18669871794873,1284.0,7.158514
MANBA,ENSG00000109323,Gene Expression,GRCh38,False,False,False,693,0.15645032,0.14535524,86.11778846153845,781.0,6.6618547
UBE2D3,ENSG00000109332,Gene Expression,GRCh38,False,False,False,3622,1.8882211,1.0606408,27.443910256410252,9426.0,9.151333
AC018797.3,ENSG00000286242,Gene Expression,GRCh38,False,False,False,0,0.0,0.0,100.0,0.0,0.0
UBE2D3-AS1,ENSG00000246560,Gene Expression,GRCh38,False,False,False,160,0.033052884,0.032518383,96.7948717948718,165.0,5.1119876
CISD2,ENSG00000145354,Gene Expression,GRCh38,False,False,False,1677,0.4473157,0.3697106,66.40625,2233.0,7.711549
SLC9B1,ENSG00000164037,Gene Expression,GRCh38,False,False,False,49,0.010016026,0.009966198,99.01842948717949,50.0,3.9318256
SLC9B2,ENSG00000164038,Gene Expression,GRCh38,False,False,False,119,0.024238782,0.023949685,97.6161858974359,121.0,4.804021
BDH2,ENSG00000164039,Gene Expression,GRCh38,False,False,False,585,0.13100961,0.12311069,88.28125,654.0,6.4846354
CENPE,ENSG00000138778,Gene Expression,GRCh38,False,False,False,330,0.070913464,0.068511985,93.38942307692307,354.0,5.872118
LINC02428,ENSG00000248740,Gene Expression,GRCh38,False,False,False,4,0.00080128206,0.0008009612,99.9198717948718,4.0,1.609438
AC105460.2,ENSG00000251577,Gene Expression,GRCh38,False,False,False,0,0.0,0.0,100.0,0.0,0.0
AC105460.1,ENSG00000250920,Gene Expression,GRCh38,False,False,False,1,0.00020032052,0.00020030045,99.97996794871796,1.0,0.6931472
TACR3,ENSG00000169836,Gene Expression,GRCh38,False,False,False,0,0.0,0.0,100.0,0.0,0.0
AC004047.1,ENSG00000286291,Gene Expression,GRCh38,False,False,False,0,0.0,0.0,100.0,0.0,0.0
LINC02503,ENSG00000249614,Gene Expression,GRCh38,False,False,False,0,0.0,0.0,100.0,0.0,0.0
AC004052.1,ENSG00000251170,Gene Expression,GRCh38,False,False,False,0,0.0,0.0,100.0,0.0,0.0
CXXC4,ENSG00000168772,Gene Expression,GRCh38,False,False,False,146,0.029847756,0.029410983,97.07532051282051,149.0,5.0106354
CXXC4-AS1,ENSG00000245384,Gene Expression,GRCh38,False,False,False,1,0.00020032052,0.00020030045,99.97996794871796,1.0,0.6931472
AC004063.1,ENSG00000250670,Gene Expression,GRCh38,False,False,False,0,0.0,0.0,100.0,0.0,0.0
AC004053.1,ENSG00000248242,Gene Expression,GRCh38,False,False,False,0,0.0,0.0,100.0,0.0,0.0
AC096577.1,ENSG00000248373,Gene Expression,GRCh38,False,False,False,0,0.0,0.0,100.0,0.0,0.0
AC004069.1,ENSG00000251259,Gene Expression,GRCh38,False,False,False,10,0.0022035257,0.0022011015,99.79967948717949,11.0,2.4849067
TET2,ENSG00000168769,Gene Expression,GRCh38,False,False,False,432,0.09334936,0.08924579,91.34615384615384,466.0,6.1463294
TET2-AS1,ENSG00000251586,Gene Expression,GRCh38,False,False,False,1,0.00020032052,0.00020030045,99.97996794871796,1.0,0.6931472
PPA2,ENSG00000138777,Gene Expression,GRCh38,False,False,False,1727,0.48818108,0.39755464,65.40464743589743,2437.0,7.7989335
AC004066.2,ENSG00000250522,Gene Expression,GRCh38,False,False,False,0,0.0,0.0,100.0,0.0,0.0
ARHGEF38,ENSG00000236699,Gene Expression,GRCh38,False,False,False,29,0.005809295,0.005792486,99.41907051282051,29.0,3.4011974
ARHGEF38-IT1,ENSG00000249885,Gene Expression,GRCh38,False,False,False,3,0.00060096156,0.00060078106,99.93990384615384,3.0,1.3862944
INTS12,ENSG00000138785,Gene Expression,GRCh38,False,False,False,617,0.13521634,0.12682325,87.64022435897436,675.0,6.516193
GSTCD,ENSG00000138780,Gene Expression,GRCh38,False,False,False,266,0.056089744,0.054573167,94.67147435897436,280.0,5.638355
AC008243.1,ENSG00000251175,Gene Expression,GRCh38,False,False,False,1,0.00020032052,0.00020030045,99.97996794871796,1.0,0.6931472
NPNT,ENSG00000168743,Gene Expression,GRCh38,False,False,False,1770,0.5875401,0.4621857,64.54326923076923,2933.0,7.984122
AC109361.2,ENSG00000250740,Gene Expression,GRCh38,False,False,False,2,0.00040064103,0.0004005608,99.9599358974359,2.0,1.0986123
AC109361.1,ENSG00000249635,Gene Expression,GRCh38,False,False,False,12,0.0024038462,0.0024009617,99.75961538461539,12.0,2.5649493
TBCK,ENSG00000145348,Gene Expression,GRCh38,False,False,False,576,0.13040866,0.12257921,88.46153846153845,651.0,6.4800444
AIMP1,ENSG00000164022,Gene Expression,GRCh38,False,False,False,1965,0.57071316,0.45152977,60.637019230769226,2849.0,7.9550743
GIMD1,ENSG00000250298,Gene Expression,GRCh38,False,False,False,0,0.0,0.0,100.0,0.0,0.0
LINC02173,ENSG00000249613,Gene Expression,GRCh38,False,False,False,0,0.0,0.0,100.0,0.0,0.0
AC092445.1,ENSG00000286147,Gene Expression,GRCh38,False,False,False,1,0.00020032052,0.00020030045,99.97996794871796,1.0,0.6931472
DKK2,ENSG00000155011,Gene Expression,GRCh38,False,False,False,43,0.009615385,0.009569451,99.1386217948718,48.0,3.8918202
AC104663.1,ENSG00000251081,Gene Expression,GRCh38,False,False,False,1,0.00020032052,0.00020030045,99.97996794871796,1.0,0.6931472
PAPSS1,ENSG00000138801,Gene Expression,GRCh38,False,False,False,971,0.23237179,0.2089406,80.5488782051282,1160.0,7.057037
SGMS2,ENSG00000164023,Gene Expression,GRCh38,False,False,False,583,0.1454327,0.13578247,88.3213141025641,726.0,6.5889263
AC096564.1,ENSG00000245293,Gene Expression,GRCh38,False,False,False,10,0.0020032052,0.0020012015,99.79967948717949,10.0,2.3978953
CYP2U1,ENSG00000155016,Gene Expression,GRCh38,False,False,False,178,0.036858976,0.036195926,96.43429487179486,184.0,5.220356
AC096564.2,ENSG00000249604,Gene Expression,GRCh38,False,False,False,3,0.00060096156,0.00060078106,99.93990384615384,3.0,1.3862944
HADH,ENSG00000138796,Gene Expression,GRCh38,False,False,False,1908,0.5801282,0.45750597,61.77884615384615,2896.0,7.971431
LEF1,ENSG00000138795,Gene Expression,GRCh38,False,False,False,414,0.096754804,0.09235564,91.70673076923077,483.0,6.182085
LEF1-AS1,ENSG00000232021,Gene Expression,GRCh38,False,False,False,40,0.008012821,0.007980889,99.19871794871796,40.0,3.713572
RPL34-AS1,ENSG00000234492,Gene Expression,GRCh38,False,True,False,10,0.0020032052,0.0020012015,99.79967948717949,10.0,2.3978953
RPL34,ENSG00000109475,Gene Expression,GRCh38,False,True,False,4911,17.48758,2.9170992,1.6225961538461564,87298.0,11.377094
OSTC,ENSG00000198856,Gene Expression,GRCh38,False,False,False,2282,0.70913464,0.5359872,54.28685897435898,3540.0,8.172165
AC107071.1,ENSG00000286136,Gene Expression,GRCh38,False,False,False,8,0.0020032052,0.0020012015,99.83974358974359,10.0,2.3978953
ETNPPL,ENSG00000164089,Gene Expression,GRCh38,False,False,False,2,0.00040064103,0.0004005608,99.9599358974359,2.0,1.0986123
COL25A1,ENSG00000188517,Gene Expression,GRCh38,False,False,False,5,0.0010016026,0.0010011013,99.89983974358975,5.0,1.7917595
ZCCHC23,ENSG00000246774,Gene Expression,GRCh38,False,False,False,0,0.0,0.0,100.0,0.0,0.0
SEC24B-AS1,ENSG00000247950,Gene Expression,GRCh38,False,False,False,59,0.012019231,0.011947574,98.81810897435898,60.0,4.1108737
SEC24B,ENSG00000138802,Gene Expression,GRCh38,False,False,False,1043,0.24679486,0.22057615,79.10657051282051,1232.0,7.1172056
MCUB,ENSG00000005059,Gene Expression,GRCh38,False,False,False,862,0.19931892,0.18175383,82.7323717948718,995.0,6.903747
CASP6,ENSG00000138794,Gene Expression,GRCh38,False,False,False,691,0.15665065,0.14552845,86.15785256410257,782.0,6.6631327
AC004067.1,ENSG00000273447,Gene Expression,GRCh38,False,False,False,9,0.0022035257,0.0022011015,99.81971153846155,11.0,2.4849067
PLA2G12A,ENSG00000123739,Gene Expression,GRCh38,False,False,False,1297,0.32051283,0.27802017,74.01842948717949,1600.0,7.3783836
CFI,ENSG00000205403,Gene Expression,GRCh38,False,False,False,210,0.04647436,0.045426764,95.79326923076923,232.0,5.4510384
AC126283.1,ENSG00000272795,Gene Expression,GRCh38,False,False,False,18,0.0038060897,0.003798865,99.63942307692307,19.0,2.9957323
GAR1,ENSG00000109534,Gene Expression,GRCh38,False,False,False,1163,0.28886217,0.2537598,76.70272435897436,1442.0,7.2744794
RRH,ENSG00000180245,Gene Expression,GRCh38,False,False,False,35,0.007011218,0.0069867535,99.2988782051282,35.0,3.583519
LRIT3,ENSG00000183423,Gene Expression,GRCh38,False,False,False,102,0.021033654,0.020815501,97.95673076923077,105.0,4.6634393
EGF,ENSG00000138798,Gene Expression,GRCh38,False,False,False,16,0.0032051282,0.0032000027,99.67948717948718,16.0,2.8332133
ELOVL6,ENSG00000170522,Gene Expression,GRCh38,False,False,False,362,0.078325324,0.07540921,92.74839743589743,391.0,5.971262
ENPEP,ENSG00000138792,Gene Expression,GRCh38,False,False,False,115,0.025440706,0.025122477,97.6963141025641,127.0,4.8520303
AC098798.1,ENSG00000250511,Gene Expression,GRCh38,False,False,False,0,0.0,0.0,100.0,0.0,0.0
PANCR,ENSG00000250103,Gene Expression,GRCh38,False,False,False,0,0.0,0.0,100.0,0.0,0.0
PITX2,ENSG00000164093,Gene Expression,GRCh38,False,False,False,43,0.008613782,0.008576895,99.1386217948718,43.0,3.7841897
LINC01438,ENSG00000249519,Gene Expression,GRCh38,False,False,False,0,0.0,0.0,100.0,0.0,0.0
AC083795.2,ENSG00000248656,Gene Expression,GRCh38,False,False,False,0,0.0,0.0,100.0,0.0,0.0
AC139718.2,ENSG00000250855,Gene Expression,GRCh38,False,False,False,0,0.0,0.0,100.0,0.0,0.0
AC139718.1,ENSG00000248432,Gene Expression,GRCh38,False,False,False,0,0.0,0.0,100.0,0.0,0.0
AC004704.1,ENSG00000249815,Gene Expression,GRCh38,False,False,False,0,0.0,0.0,100.0,0.0,0.0
FAM241A,ENSG00000174749,Gene Expression,GRCh38,False,False,False,662,0.14863782,0.13857673,86.73878205128204,742.0,6.610696
AC109347.1,ENSG00000260526,Gene Expression,GRCh38,False,False,False,38,0.0076121795,0.007583353,99.23878205128204,38.0,3.6635616
AP1AR,ENSG00000138660,Gene Expression,GRCh38,False,False,False,862,0.19931892,0.18175383,82.7323717948718,995.0,6.903747
AC109347.2,ENSG00000272567,Gene Expression,GRCh38,False,False,False,20,0.0040064105,0.003998406,99.59935897435898,20.0,3.0445225
TIFA,ENSG00000145365,Gene Expression,GRCh38,False,False,False,257,0.053685896,0.052294396,94.85176282051282,268.0,5.5947113
ALPK1,ENSG00000073331,Gene Expression,GRCh38,False,False,False,230,0.047876604,0.046765834,95.3926282051282,239.0,5.480639
NEUROG2,ENSG00000178403,Gene Expression,GRCh38,False,False,False,2,0.00060096156,0.00060078106,99.9599358974359,3.0,1.3862944
AC023886.1,ENSG00000249509,Gene Expression,GRCh38,False,False,False,4,0.00080128206,0.0008009612,99.9198717948718,4.0,1.609438
ZGRF1,ENSG00000138658,Gene Expression,GRCh38,False,False,False,118,0.02363782,0.023362773,97.63621794871796,118.0,4.7791233
LARP7,ENSG00000174720,Gene Expression,GRCh38,False,False,False,1068,0.25821313,0.22969256,78.60576923076923,1289.0,7.1623974
MIR302CHG,ENSG00000249532,Gene Expression,GRCh38,False,False,False,0,0.0,0.0,100.0,0.0,0.0
AC106864.1,ENSG00000250046,Gene Expression,GRCh38,False,False,False,0,0.0,0.0,100.0,0.0,0.0
ANK2,ENSG00000145362,Gene Expression,GRCh38,False,False,False,292,0.06330128,0.061378483,94.15064102564102,316.0,5.7589016
AC017007.5,ENSG00000251126,Gene Expression,GRCh38,False,False,False,0,0.0,0.0,100.0,0.0,0.0
AC093879.1,ENSG00000248152,Gene Expression,GRCh38,False,False,False,0,0.0,0.0,100.0,0.0,0.0
AC093879.2,ENSG00000249373,Gene Expression,GRCh38,False,False,False,0,0.0,0.0,100.0,0.0,0.0
CAMK2D,ENSG00000145349,Gene Expression,GRCh38,False,False,False,710,0.16185898,0.15002128,85.77724358974359,808.0,6.695799
ARSJ,ENSG00000180801,Gene Expression,GRCh38,False,False,False,28,0.0056089745,0.0055933027,99.43910256410257,28.0,3.3672957
AC104779.1,ENSG00000249304,Gene Expression,GRCh38,False,False,False,0,0.0,0.0,100.0,0.0,0.0
UGT8,ENSG00000174607,Gene Expression,GRCh38,False,False,False,9,0.0018028846,0.0018012613,99.81971153846155,9.0,2.3025851
NDST4,ENSG00000138653,Gene Expression,GRCh38,False,False,False,0,0.0,0.0,100.0,0.0,0.0
MTRNR2L13,ENSG00000270394,Gene Expression,GRCh38,False,False,False,0,0.0,0.0,100.0,0.0,0.0
AC106892.1,ENSG00000250791,Gene Expression,GRCh38,False,False,False,0,0.0,0.0,100.0,0.0,0.0
AC093765.5,ENSG00000287845,Gene Expression,GRCh38,False,False,False,0,0.0,0.0,100.0,0.0,0.0
AC093765.4,ENSG00000287520,Gene Expression,GRCh38,False,False,False,0,0.0,0.0,100.0,0.0,0.0
AC093765.3,ENSG00000287290,Gene Expression,GRCh38,False,False,False,0,0.0,0.0,100.0,0.0,0.0
AC093765.2,ENSG00000286637,Gene Expression,GRCh38,False,False,False,0,0.0,0.0,100.0,0.0,0.0
TRAM1L1,ENSG00000174599,Gene Expression,GRCh38,False,False,False,73,0.014623397,0.014517507,98.53766025641025,73.0,4.304065
LINC02262,ENSG00000224932,Gene Expression,GRCh38,False,False,False,0,0.0,0.0,100.0,0.0,0.0
LINC02263,ENSG00000228358,Gene Expression,GRCh38,False,False,False,2,0.00040064103,0.0004005608,99.9599358974359,2.0,1.0986123
LINC01378,ENSG00000236922,Gene Expression,GRCh38,False,False,False,0,0.0,0.0,100.0,0.0,0.0
AC092661.1,ENSG00000286269,Gene Expression,GRCh38,False,False,False,0,0.0,0.0,100.0,0.0,0.0
LINC02264,ENSG00000229565,Gene Expression,GRCh38,False,False,False,0,0.0,0.0,100.0,0.0,0.0
NDST3,ENSG00000164100,Gene Expression,GRCh38,False,False,False,5,0.0010016026,0.0010011013,99.89983974358975,5.0,1.7917595
SNHG8,ENSG00000269893,Gene Expression,GRCh38,False,False,False,3252,1.604367,0.9571897,34.855769230769226,8009.0,8.988446
PRSS12,ENSG00000164099,Gene Expression,GRCh38,False,False,False,8,0.0016025641,0.0016012813,99.83974358974359,8.0,2.1972246
METTL14-DT,ENSG00000281731,Gene Expression,GRCh38,False,False,False,6,0.0012019231,0.0012012013,99.8798076923077,6.0,1.9459101
METTL14,ENSG00000145388,Gene Expression,GRCh38,False,False,False,635,0.14182693,0.13262954,87.27964743589743,708.0,6.5638556
SEC24D,ENSG00000150961,Gene Expression,GRCh38,False,False,False,1533,0.39603364,0.3336351,69.29086538461539,1977.0,7.5898414
SYNPO2,ENSG00000172403,Gene Expression,GRCh38,False,False,False,667,0.15364583,0.14292721,86.6386217948718,767.0,6.64379
MYOZ2,ENSG00000172399,Gene Expression,GRCh38,False,False,False,2,0.00040064103,0.0004005608,99.9599358974359,2.0,1.0986123
